,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
3,4402,1,3,3,3,35,7,1,,,,,,,,,,,,,,,,
4,4402,1,3,3,3,37,7,1,,,,2,1,1,1,60,,,,,,,,
5,4402,1,3,3,3,39,7,1,,,,2,1,9,3,50,,,,,,,,
6,4402,1,3,3,3,41,7,1,,,,2,1,9,5,50,,,,,,,,
7,4402,1,3,3,3,43,7,1,,,,2,1,9,3,400,,,,,,,,
1,4502,12,3,5,6,45,2,1,,,,,2,,,0,1997,1997,2,,,,1997,1997
2,4502,12,3,5,6,46,2,1,,,,,2,,,0,,,,,,,,
3,4502,12,3,5,6,48,2,1,,,,,2,,,20,,,,,,,,
4,4502,12,3,5,6,50,2,1,,,,,,,,,,,,,,,,
5,4502,12,3,5,6,52,2,1,,,,,,,,,,,,,,,,
6,4502,12,3,5,6,54,2,1,,,,,,,,,,,,,,,,
7,4502,12,3,5,6,56,2,1,,,,,,,,,,,,,,,,
1,4602,1,2,4,4,25,4,1,3,,,,,,,,2001,2002,2,,,2007,2002,2007
2,4602,1,2,4,4,26,4,1,,,,,,,,,,,,,,,,
3,4602,1,2,4,4,28,4,1,,,,,,,,,,,,,,,,
